Game,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,MetaScore,UserReview
adidas power soccer 98,PS,1998.0,Sports,Psygnosis,0.01,0.01,0.0,0.0,0.02,,
adrenalin misfits,X360,2010.0,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,50.0,
advance guardian heroes,GBA,2004.0,Role-Playing,Ubisoft,0.03,0.01,0.0,0.0,0.04,65.0,
advance wars,GBA,2001.0,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92.0,8.9
advance wars 2: black hole rising,GBA,2003.0,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,8.9
advance wars: dual strike,DS,2005.0,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4,90.0,8.8
advent rising,XB,2005.0,Action,THQ,0.2,0.06,0.0,0.0,0.26,69.0,8.05
adventure island,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,,
adventure time: explore the dungeon because i don't know!,3DS,2013.0,Action,D3Publisher,0.30000000000000004,0.09,0.0,0.03,0.42000000000000004,42.333333333333336,4.433333333333334
adventure time: explore the dungeon because i don't know!,PS3,2013.0,Action,D3Publisher,0.06,0.06,0.0,0.03,0.15000000000000002,42.333333333333336,4.433333333333334
adventure time: explore the dungeon because i don't know!,WiiU,2013.0,Action,D3Publisher,0.06,0.03,0.0,0.0,0.09,42.333333333333336,4.433333333333334
adventure time: explore the dungeon because i don't know!,X360,2013.0,Action,D3Publisher,0.09,0.12,0.0,0.03,0.24,42.333333333333336,4.433333333333334
adventure time: finn & jake investigations,3DS,2015.0,Action,Little Orbit,0.02,0.05,0.0,0.01,0.07,,
adventure time: finn & jake investigations,PS3,2015.0,Action,Little Orbit,0.02,0.07,0.0,0.02,0.1,,
adventure time: finn & jake investigations,PS4,2015.0,Action,Little Orbit,0.03,0.04,0.0,0.01,0.09,,
adventure time: finn & jake investigations,WiiU,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05,,
adventure time: finn & jake investigations,X360,2015.0,Action,Little Orbit,0.02,0.06,0.0,0.01,0.09,,
adventure time: finn & jake investigations,XOne,2015.0,Action,Little Orbit,0.02,0.02,0.0,0.0,0.05,,
adventure time: the secret of the nameless,3DS,2014.0,Adventure,Little Orbit,0.01,0.0,0.0,0.0,0.02,,
adventure time: the secret of the nameless,X360,2014.0,Adventure,Little Orbit,0.01,0.0,0.0,0.0,0.01,,
adventure time: the secret of the nameless kingdom,3DS,2014.0,Action,Little Orbit,0.0,0.07,0.0,0.0,0.08,,
adventure time: the secret of the nameless kingdom,X360,2014.0,Action,Little Orbit,0.0,0.08,0.0,0.01,0.09,,
adventures of lolo,NES,1989.0,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0,0.06,,
adventures of tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,,
adventures to go!,PSP,2008.0,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.13,,
aedis eclipse: generation of chaos,PSP,2006.0,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,,
aegis of earth: protonovus assault,PS3,2016.0,Action,PQube,0.01,0.01,0.0,0.0,0.03,57.0,6.4
aegis of earth: protonovus assault,PS4,2016.0,Action,PQube,0.02,0.0,0.0,0.0,0.02,57.0,6.4
aegis of earth: protonovus assault,PSV,2016.0,Action,PQube,0.02,0.01,0.0,0.01,0.04,57.0,6.4
aeon flux,PS2,2005.0,Action,THQ,0.04,0.04,0.0,0.02,0.08,67.5,4.3
aeon flux,XB,2005.0,Action,THQ,0.02,0.0,0.0,0.0,0.02,67.5,4.3
aero elite: combat academy,PS2,2002.0,Simulation,Sega,0.04,0.03,0.0,0.01,0.07,,
aero gauge,N64,1997.0,Racing,ASCII Entertainment,0.06,0.01,0.0,0.0,0.07,,
aerofighters assault,N64,1997.0,Action,Video System,0.15,0.04,0.0,0.0,0.19,,
afrika,PS3,2008.0,Adventure,Unknown,0.12,0.0,0.08,0.01,0.21,,
afro samurai,PS3,2009.0,Action,Atari,0.24,0.1,0.0,0.06,0.4,65.0,6.25
afro samurai,X360,2009.0,Action,Atari,0.32,0.1,0.0,0.04,0.48,65.0,6.25
after hours athletes,PS3,2011.0,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12,,
again,DS,2009.0,Adventure,Ackkstudios,0.07,0.0,0.0,0.0,0.07,,
agassi tennis generation,PS2,2003.0,Sports,DreamCatcher Interactive,0.04,0.03,0.0,0.01,0.09,,
agatha christie's the abc murders,PS4,2016.0,Adventure,Microids,0.01,0.01,0.0,0.0,0.02,,
agatha christie: and then there were none,Wii,2008.0,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,50.0,6.2
agatha christie: death on the nile,PC,2008.0,Adventure,Big Fish Games,0.0,0.01,0.0,0.0,0.02,,
agatha christie: evil under the sun,Wii,2008.0,Adventure,The Adventure Company,0.07,0.02,0.0,0.01,0.09,,
agatha christie: peril at end house,PC,2009.0,Adventure,JoWood Productions,0.0,0.01,0.0,0.0,0.01,,
agatha christie: the abc murders,DS,2009.0,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,53.0,6.2
agatha christie: the abc murders,PC,2016.0,Adventure,Microids,0.0,0.06,0.0,0.0,0.06,66.33333333333333,7.066666666666666
age of conan: rise of the godslayer,PC,2010.0,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83.0,7.6
age of empires ii: the age of kings,PC,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.02,0.1,92.0,9.1
age of empires iii,PC,2005.0,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39,81.0,7.8
age of empires iii: complete collection,PC,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,,
age of empires iii: gold edition,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.02,0.0,0.01,0.03,,
age of empires iii: the asian dynasties,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.07,81.0,8.3
age of empires online,PC,2011.0,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70.0,5.7
age of empires: collector's edition,PC,2000.0,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14,,
age of empires: mythologies,DS,2008.0,Strategy,THQ,0.17,0.03,0.0,0.02,0.22,78.0,7.1
age of empires: the age of kings,DS,2006.0,Strategy,THQ,0.19,0.02,0.0,0.02,0.23,80.0,8.0
